id,label,description
DUO:0000021,ethics approval required,This requirement indicates that the requestor must provide documentation of local IRB/ERB approval.
DUO_0000034,age category research,An investigation concerning specific age categories.
DUO:0000006,health or medical or biomedical research,This primary category consent code indicates that use is allowed for health/medical/biomedical purposes; does not include the study of population origins or ancestry.
DUO:0000019,publication required,This requirement indicates that requestor agrees to make results of studies using the data available to the larger scientific community.
DUO:0000026,user specific restriction,This requirement indicates that use is limited to use by approved users.
DUO_0000039,drug development research,Biomedical research concerning drug development.
DUO:0000020,collaboration required,This requirement indicates that the requestor must agree to collaboration with the primary study investigator(s).
DUO_0000033,ancestry research,An investigation concerning ancestry or population origins.
DUO:0000005,general research use and clinical care,"This primary category consent code indicates that use is allowed for health/medical/biomedical purposes and other biological research, including the study of population origins or ancestry."
DUO:0000018,not for profit use only,"This requirement indicates that use of the data is limited to not-for-profit organizations and not-for-profit use, non-commercial use."
DUO_0000040,disease category research,Biomedical research research concerning specific disease/s
DUO:0000012,research specific restrictions,This secondary category consent code indicates that use is limited to studies of a certain research type.
DUO:0000025,time limit on use,This requirement indicates that use is approved for a specific number of months.
DUO_0000038,genetic research,"Biomedical research concerning genetics (i.e., the study of genes, genetic variations and heredity)."
DUO_0000032,population research,An investigation concerning a specific population group.
DUO:0000004,no restriction,This consent code primary category indicates there is no restriction on use.
DUO:0000017,data use requirements,Requirements indicate additional conditions set for use.
DUO:0000011,population origins or ancestry research,This primary category consent code indicates that use of the data is limited to the study of population origins or ancestry.
DUO:0000024,publication moratorium,This requirement indicates that requestor agrees not to publish results of studies until a specific date
DUO_0000037,biomedical research,"An investigation concerning health, medical, or biomedical research."
DUO_0000031,method development,"An investigation concerning development of methods, algorithms, software or analytical tools."
DUO:0000003,consent code secondary category,A categorical data item indicating the secondary category the consent code belongs to according to Dyke et al. 2016.
DUO:0000016,genetic studies only,"This secondary category consent code indicates that use is limited to genetic studies only (i.e., no phenotype-only research)"
DUO:0000029,return to database or resource,This requirement indicates that the requestor must return derived/enriched data to the database/resource.
DUO_0000036,research control,An investigation concerning use of data as reference or control material.
DUO:0000002,consent code primary category,A categorical data item indicating the primary category the consent code belongs to according to Dyke et al. 2016.
DUO:0000015,no general methods research,"This secondary category consent code indicates that use includes methods development research(e.g., development of software or algorithms) only within the bounds of other use limitations."
DUO:0000028,institution specific restriction,This requirement indicates that use is limited to use within an approved institution.
DUO:0000022,geographical restriction,This requirement indicates that use is limited to within a specific geographic region.
DUO_0000035,gender category research,An investigation concerning specific gender categories.
DUO:0000007,disease specific research,This primary category consent code indicates that use is allowed provided it is related to the specified disease.
DUO:0000001,consent code,"A data item that is used to indicate consent permissions for datasets and/or materials, and relates to the purposes for which datasets and/or material might be removed, stored or used."
DUO:0000042,general research use,This primary category consent code indicates that use is allowed for general research use for any research purpose.
DUO:0000014,research use only,"This secondary category consent code indicates that use is limited to research purposes (e.g., does not include its use in clinical care)."
DUO:0000027,project specific restriction,This requirement indicates that use is limited to use within an approved project.
